,CPU Name,Platform Name,Single-core Score,Multi-core Score
23311,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,973,2811
23312,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1081,3318
23313,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1313,4023
23314,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1349,4295
23315,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1291,4105
23316,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1274,3946
23317,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1249,3990
23318,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1264,3833
23319,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1070,3757
23320,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1081,3728
23321,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1207,3172
23322,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1268,4145
23323,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1244,4059
23324,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1024,3068
23325,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,780,2831
23326,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1186,3501
23327,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1242,3701
23328,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1166,3714
23329,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1209,3894
23330,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1224,3819
23331,Intel Core i9-13900H 2992 MHz (14 cores),Windows,2769,12830
23332,Intel Core i9-13900H 2993 MHz (14 cores),Windows,2797,14343
23333,Intel Core i9-13900H 2600 MHz (14 cores),Windows,1718,8064
23334,Intel Core i9-13900H 2992 MHz (14 cores),Windows,2876,14526
23335,Intel Core i9-13900H 2992 MHz (14 cores),Windows,1073,6509
23336,Intel Core i9-13900H 2992 MHz (14 cores),Windows,1063,6515
23337,Intel Core i9-13900H 2992 MHz (14 cores),Windows,2774,13807
23338,Intel Core i9-13900H 2992 MHz (14 cores),Windows,2879,14069
23339,Intel Core i9-13900H 2992 MHz (14 cores),Windows,2884,14679
23358,AMD Ryzen 5 5500H 3301 MHz (4 cores),Windows,1712,3668
23359,AMD Ryzen 5 5500H 3301 MHz (4 cores),Windows,1680,3961
23360,AMD Ryzen 5 5500H 3301 MHz (4 cores),Windows,1611,3912
23361,AMD Ryzen 5 5500H 3301 MHz (4 cores),Windows,1791,5355
23362,AMD Ryzen 5 5500H 3301 MHz (4 cores),Windows,1731,4082
23363,AMD Ryzen 5 5500H 3301 MHz (4 cores),Windows,1760,5603
23364,AMD Ryzen 5 5500H 3301 MHz (4 cores),Windows,1849,5794
23365,AMD Ryzen 5 5500H 3301 MHz (4 cores),Windows,942,4435
23366,AMD Ryzen 5 5500H 3301 MHz (4 cores),Windows,1685,4086
23367,AMD Ryzen 5 5500H 3301 MHz (4 cores),Windows,1816,5755
23368,AMD Ryzen 5 5500H 3301 MHz (4 cores),Windows,1699,3999
23369,AMD Ryzen 5 5500H 3301 MHz (4 cores),Windows,1271,4479
23370,AMD Ryzen 5 5500H 3301 MHz (4 cores),Windows,1690,3661
23371,AMD Ryzen 5 5500H 3301 MHz (4 cores),Windows,1710,4038
23372,AMD Ryzen 5 5500H 3301 MHz (4 cores),Windows,783,2563
23373,AMD Ryzen 5 5500H 3301 MHz (4 cores),Windows,1693,4480
23374,AMD Ryzen 5 5500H 3301 MHz (4 cores),Windows,1691,3836
23375,AMD Ryzen 5 5500H 3301 MHz (4 cores),Windows,1685,3994
23376,AMD Ryzen 5 5500H 3301 MHz (4 cores),Windows,1692,4023
23377,AMD Ryzen 5 5500H 3301 MHz (4 cores),Windows,1660,3935
23378,AMD Ryzen 5 5500H 3301 MHz (4 cores),Windows,1789,5760
23379,AMD Ryzen 5 5500H 3301 MHz (4 cores),Windows,1428,3778
23380,AMD Ryzen 5 5500H 3301 MHz (4 cores),Windows,1391,3350
23381,AMD Ryzen 5 5500H 3301 MHz (4 cores),Windows,1729,4117
23382,AMD Ryzen 5 5500H 3301 MHz (4 cores),Windows,978,2254
23383,AMD Ryzen 5 5500H 3301 MHz (4 cores),Windows,1660,3883
23384,AMD Ryzen 5 5500H 3301 MHz (4 cores),Windows,1711,4020
23385,AMD Ryzen 5 5500H 3301 MHz (4 cores),Windows,1675,4045
23386,AMD Ryzen 5 5500H 3301 MHz (4 cores),Windows,1786,4603
