,CPU Name,Platform Name,Single-core Score,Multi-core Score,quarry
18353,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1710,4725,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18354,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1644,6995,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18355,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1842,8970,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18356,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1803,6884,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18357,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1835,7090,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18358,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1786,7960,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18359,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1873,9127,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18360,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1985,9512,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18361,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1600,4828,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18362,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1582,6582,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18363,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1410,7129,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18364,AMD Ryzen 7 5800H 4463 MHz (8 cores),Linux,1483,4956,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18365,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1795,7956,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18366,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1766,7949,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18367,AMD Ryzen 7 5800H 4462 MHz (8 cores),Linux,1963,8527,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18368,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1826,8163,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18369,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1862,8134,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18370,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1902,8043,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18371,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1891,7143,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18372,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1919,8075,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18373,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1870,7958,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18374,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1814,7461,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18375,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1917,7077,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18376,AMD Ryzen 7 5800H 3194 MHz (8 cores),Windows,1603,6099,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18377,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1905,7222,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18378,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1907,7187,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18379,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1901,7155,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18380,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1868,7674,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18381,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1842,7765,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18382,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1795,8482,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18383,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1812,6737,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18384,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1809,7000,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18385,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1865,7020,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18386,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1879,9208,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18387,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1445,5234,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18388,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1886,8430,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18389,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1920,8377,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18390,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1901,5505,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18391,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1895,8266,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18392,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1966,7227,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
